,portfolio_net_value,benchmark,cum_excess_ret
2016-05-31,3.3846004512692844,1.5192901414164253,0.8241157508448178
2016-06-30,3.5464829632483523,1.5271485953122763,0.8667724348110766
2016-07-29,3.823210123216559,1.5500215300106732,0.9298235079476767
2016-08-31,4.025708637129153,1.6093030427973383,0.9445434746581508
2016-09-30,3.948870209774442,1.5761422543500594,0.9460622256321397
2016-10-31,4.048312210445741,1.6135221767422678,0.9475285342297349
2016-11-30,4.157628490187105,1.691611691710197,0.926134534410465
2016-12-30,4.090004018010714,1.590422304093528,0.9696877100413698
2017-01-26,4.111941982822194,1.6135949132648137,0.9604814121360455
2017-02-28,4.1002372058587575,1.65271012126633,0.9333938462361027
2017-03-31,4.080981183224516,1.6500471332666091,0.9303088126437699
2017-04-28,4.080000239728953,1.6301160791772373,0.9421475247963723
2017-05-31,4.184946102449267,1.6184828075798934,0.9750060166836445
2017-06-30,4.178945747829192,1.7009128225760861,0.9226417981155122
2017-07-31,4.469964586515319,1.7370233887405522,0.9710509839184123
2017-08-31,4.530726933951646,1.778506482278889,0.9607627452205051
2017-09-29,4.4923312956004535,1.793545901317736,0.9438320397351485
2017-10-31,4.547196134049171,1.8472703437818996,0.926090721929449
2017-11-30,4.67257398384205,1.8242311541748264,0.966135302810848
2017-12-29,4.7191040163036,1.8315567610883705,0.9720776955842809
2018-01-31,5.439989557922648,1.9089633840189126,1.0825739324090997
2018-02-28,4.938943039584864,1.8116868056779372,1.041427418315626
2018-03-30,4.758009063077411,1.7767645464732342,1.024069370803498
2018-04-27,4.798212587309635,1.7097854314148622,1.070216261007937
2018-05-31,4.85060456053153,1.7168338082681887,1.0770129463639146
2018-06-29,4.673868796112646,1.577963576874607,1.1214645292506997
2018-07-31,4.919401584984432,1.5780134533472097,1.1739660151372908
2018-08-31,4.7427242307965845,1.4880088647117302,1.1950882577063895
2018-09-28,5.013395140208318,1.5221106559421165,1.229241290764469
2018-10-31,4.738558531763344,1.386091696232331,1.2637829050915546
2018-11-30,4.505773219466491,1.4003243633268272,1.204388939967792
2018-12-28,4.211967025870001,1.330013084261313,1.189393039705103
2019-01-31,4.339545782277668,1.3945619681921109,1.171150112219864
2019-02-28,4.590400679167421,1.6167816042268648,1.069609564287807
2019-03-29,4.581308436032359,1.7251453067901832,1.0006045270865935
2019-04-30,4.548723060967636,1.720202963992512,0.9963567332910129
2019-05-31,4.405358776424997,1.5947486724545543,1.0377691897631165
2019-06-28,4.581353745198976,1.6631047937940366,1.0348561343419105
2019-07-31,4.5465174674584645,1.6626106010779969,1.027549358390182
2019-08-30,4.3295746254458045,1.6493974922109575,0.9877802972082388
2019-09-30,4.3853653595757915,1.6586790881250766,0.9950389947396094
2019-10-31,4.498009542069754,1.6808354641670793,1.0073675359053826
2019-11-29,4.457470854586714,1.659752679197853,1.0108979913177947
2019-12-31,4.596781238990059,1.7783177829575418,0.9707158220303352
2020-01-23,4.430519325782527,1.7564594188393412,0.9468382153631164
2020-02-28,4.479701713889294,1.7412346255773201,0.9666069210871788
2020-03-31,4.225819876777567,1.6243528527679778,0.9770588979240382
2020-04-30,4.634907444384551,1.7243497770521674,1.0123044868709872
2020-05-29,4.877935478435965,1.7134746278383868,1.071045578349955
2020-06-30,5.487645459317086,1.848407527357245,1.1172909111983425
2020-07-31,6.159920529571029,2.0815933371682798,1.1136429498443163
2020-08-31,5.851554968813852,2.1289493853556025,1.040833055931738
2020-09-30,5.498630032487808,2.015292126500035,1.03390658673042
2020-10-30,5.525291366120851,2.044885084607123,1.024071106969754
2020-11-30,5.606103500282928,2.1496107141313345,0.9874835116389071
2020-12-31,6.579586763471295,2.2369132448635543,1.1205173670616948
2021-01-29,7.0417191416320755,2.282162427720678,1.1705262591985228
2021-02-26,6.939377825759813,2.2785355768879074,1.157581906293435
