,date,code,weight
1,2014-06-30,000987.SZ,0.05277498021069616
2,2014-06-30,002419.SZ,0.11975207926689238
3,2014-06-30,002276.SZ,0.09033333081400173
4,2014-06-30,600491.SH,0.04716474966796121
5,2014-06-30,000417.SZ,0.06093477245067558
6,2014-06-30,601616.SH,0.04872131305514146
7,2014-06-30,002277.SZ,0.07716130537732556
8,2014-06-30,600337.SH,0.053312137141222314
9,2014-06-30,600006.SH,0.08455951055600577
10,2014-06-30,600468.SH,0.0642434100921759
11,2014-06-30,600479.SH,0.049362198381023764
12,2014-06-30,600510.SH,0.057076402288515356
13,2014-06-30,600449.SH,0.048273970158148355
14,2014-06-30,000078.SZ,0.07441556305447962
0,2014-07-31,000987.SZ,0.04555596278305449
1,2014-07-31,600723.SH,0.053922812548409575
2,2014-07-31,000418.SZ,0.07904292223005054
3,2014-07-31,600491.SH,0.03890072375819073
4,2014-07-31,002479.SZ,0.06786185801761843
5,2014-07-31,600438.SH,0.09543258470218459
6,2014-07-31,000759.SZ,0.06262130595890168
7,2014-07-31,002498.SZ,0.08847166111491866
8,2014-07-31,000501.SZ,0.06899711361078967
9,2014-07-31,002482.SZ,0.0745106279419984
10,2014-07-31,002419.SZ,0.08851961068060084
11,2014-07-31,600449.SH,0.04012983588337794
12,2014-07-31,002238.SZ,0.04348763492918356
13,2014-07-31,002277.SZ,0.05913784256192918
14,2014-07-31,002032.SZ,0.0934075032787917
0,2014-08-29,000987.SZ,0.04121500682444366
1,2014-08-29,600491.SH,0.038499290150835565
2,2014-08-29,600723.SH,0.04926385301565227
3,2014-08-29,002325.SZ,0.07607887946609415
4,2014-08-29,600438.SH,0.0919495286891721
5,2014-08-29,000417.SZ,0.051439056034600306
6,2014-08-29,002032.SZ,0.09658548009461336
7,2014-08-29,002091.SZ,0.05705850994873846
8,2014-08-29,002276.SZ,0.07666448491902955
9,2014-08-29,002574.SZ,0.0565748852622524
10,2014-08-29,600983.SH,0.07126688924876796
11,2014-08-29,000078.SZ,0.0593979035930706
12,2014-08-29,000650.SZ,0.050908786814691014
